Solute_encoded,Solvent_encoded,Potential_ID,Alpha,Mu,Sigma,solvent_density,solvent_shear,solute_density,solute_shear,PC2,PC3,PC4,PC5,density_ratio,density_diff,density_mismatch_pct,shear_ratio,shear_diff,shear_mismatch_pct,combined_mismatch
11,1,22,-1.3,9,-0.2585883950849455,-1.3370502970876579,-1.171807361004091,-0.17669722928812118,1.0497156644206613,0.7682498919895606,-1.2213168394052731,-0.434732596420624,-0.36452530052034304,0.1321545118182916,1.1603530677995366,-0.8678454881817084,-0.8958090718266076,2.2215230254247524,-1.8958090718266076,1.6452693494386736
11,1,1,2.1,7,-0.6507348755054947,-1.3370502970876579,-1.171807361004091,-0.17669722928812118,1.0497156644206613,0.9455259602994139,-1.0112720724527633,-0.5618561637460313,-0.1797653151589461,0.1321545118182916,1.1603530677995366,-0.8678454881817084,-0.8958090718266076,2.2215230254247524,-1.8958090718266076,1.6452693494386736
13,1,23,-0.9,-41,-0.034504691987488866,-1.3370502970876579,-1.171807361004091,0.2819189190398013,-1.3946375428539222,-0.5055021486710518,-0.23975951582952484,1.359427788226864,0.20345648619651915,-0.21085139403796008,1.6189692161274591,-1.21085139403796,1.190159397581266,-0.22283018184983105,-0.190159397581266,-0.23025477165069458
13,1,1,-0.9,-46,-0.034504691987488866,-1.3370502970876579,-1.171807361004091,0.2819189190398013,-1.3946375428539222,-0.5055021486710518,-0.23975951582952484,1.359427788226864,0.20345648619651915,-0.21085139403796008,1.6189692161274591,-1.21085139403796,1.190159397581266,-0.22283018184983105,-0.190159397581266,-0.23025477165069458
14,1,1,1.7,7,-0.8748185786029513,-1.3370502970876579,-1.171807361004091,0.32645941739592893,-0.20938627490099118,0.6110935588054095,-0.33437638583238904,0.4444306508355941,0.3142124039738947,-0.2441639017672093,1.6635097144835869,-1.2441639017672093,0.17868660145774606,0.9624210861031,-0.8213133985422539,1.0218484825040177
15,1,1,1.1,9,-0.8187976528285872,-1.3370502970876579,-1.171807361004091,2.0301334795178043,-0.08872883998871386,1.7315055178332008,-0.4870704746237716,1.6204357764200543,0.5226232091906711,-1.5183673224109888,3.3671837766054624,-2.518367322410989,0.07571964722314463,1.0830785210153773,-0.9242803527768554,2.3276774371797337
17,1,10,-2.0,-86,0.021516233786875304,-1.3370502970876579,-1.171807361004091,-1.4185467173530308,0.009565363452753462,-0.7628430028515428,-0.8457265722160705,-0.6459104378309659,-0.4330068874135499,1.0609523968117633,-0.08149642026537296,-0.06095239681176332,-0.00816291463176776,1.1813727244568446,-1.0081629146317679,-0.061449946023539384
18,1,24,-1.9,-36,1.253976600822887,-1.3370502970876579,-1.171807361004091,-0.4390332153687025,-1.2906225127571314,-1.4801104539691439,-0.9490260154909899,1.1988790871470905,-0.5411896743819089,0.32835953615581837,0.8980170817189554,-0.6716404638441816,1.101394781861782,-0.11881515175304025,-0.101394781861782,-0.06810083832102687
19,1,1,-0.8,4,-0.6507348755054947,-1.3370502970876579,-1.171807361004091,1.2916293690621825,0.3996217263157189,1.4821301898877437,-0.7715743137179126,0.8652735337094,0.2084278367671922,-0.9660290056967861,2.62867966614984,-1.966029005696786,-0.3410302235798327,1.57142908731981,-1.3410302235798326,2.636504317073997
20,1,17,1.5,-5,-0.14654654353621718,-1.3370502970876579,-1.171807361004091,-1.0071133003345654,-0.4324985144586074,-0.6919020756414392,-0.5694836707710406,-0.15256257318468155,-0.1810035654528394,0.7532351643975128,0.3299369967530925,-0.24676483560248716,0.36908670217603917,0.7393088465454838,-0.6309132978239609,0.15568721621695272
20,1,25,1.7,7,-0.4826720981824022,-1.3370502970876579,-1.171807361004091,-1.0071133003345654,-0.4324985144586074,-0.5399511599472793,-0.38944529909746073,-0.26152563089217357,-0.02263786371449926,0.7532351643975128,0.3299369967530925,-0.24676483560248716,0.36908670217603917,0.7393088465454838,-0.6309132978239609,0.15568721621695272
20,1,1,1.3,-3,-0.8187976528285872,-1.3370502970876579,-1.171807361004091,-1.0071133003345654,-0.4324985144586074,-0.38800024425311935,-0.20940692742388092,-0.3704886885996655,0.13572783802384095,0.7532351643975128,0.3299369967530925,-0.24676483560248716,0.36908670217603917,0.7393088465454838,-0.6309132978239609,0.15568721621695272
22,1,1,1.1,-4,-0.3706302466336739,-1.3370502970876579,-1.171807361004091,1.7747805376710226,2.609941115872523,2.9814988311997177,-1.9532474909477981,0.045777191189147706,-0.3931980394107878,-1.3273850217428782,3.1118308347586803,-2.327385021742878,-2.2272783076188674,3.781748476876614,-3.2272783076188674,7.511119194147857
23,1,16,-1.8,11,-0.20256746931058137,-1.3370502970876579,-1.171807361004091,-0.5107509669590772,-0.4324985144586074,-0.3537863431096525,-0.5591187686532036,0.18662241810539346,-0.07753662431500827,0.3819983197876602,0.8262993301285807,-0.6180016802123398,0.36908670217603917,0.7393088465454838,-0.6309132978239609,0.38990547812351617
24,1,1,-0.9,-5,-0.5386930239567663,-1.3370502970876579,-1.171807361004091,-0.629651449858909,-0.6925360897005843,-0.43223645422883816,-0.2552551081591396,0.14007516926688013,0.1264463060948192,0.4709257768615032,0.7073988472287489,-0.5290742231384967,0.5909982414747491,0.4792712713035068,-0.4090017585252509,0.21639228765402616
0,2,2,2.2,1,-1.098902281700408,1.5483787739825068,-1.1006978024211902,0.06903043537153107,-0.8228149148968149,0.362145953017928,2.111912600303464,0.23898894143567567,-0.7440517470239632,0.04458239581390113,-1.4793483386109758,0.9554176041860989,0.7475393455741258,0.2778828875243753,-0.25246065442587423,0.2412053536028234
0,2,3,2.0,1,-1.098902281700408,1.5483787739825068,-1.1006978024211902,0.06903043537153107,-0.8228149148968149,0.362145953017928,2.111912600303464,0.23898894143567567,-0.7440517470239632,0.04458239581390113,-1.4793483386109758,0.9554176041860989,0.7475393455741258,0.2778828875243753,-0.25246065442587423,0.2412053536028234
0,2,1,-1.4,5,-0.8187976528285872,1.5483787739825068,-1.1006978024211902,0.06903043537153107,-0.8228149148968149,0.23552018993946133,1.9618806239088145,0.3297914895252523,-0.8760231651392466,0.04458239581390113,-1.4793483386109758,0.9554176041860989,0.7475393455741258,0.2778828875243753,-0.25246065442587423,0.2412053536028234
1,2,1,0.0,-4,-0.9868604301516797,1.5483787739825068,-1.1006978024211902,-1.355699319248834,-1.114837111893555,-0.760917663652508,2.24204970486156,-0.5841723019066631,-0.9461039372377394,-0.875560516605319,-2.904078093231341,1.875560516605319,1.0128457687852768,-0.014139309472364747,-0.012845768785276665,-0.024093016739105983
3,2,1,1.0,-6,-0.4826720981824022,1.5483787739825068,-1.1006978024211902,-0.17858453854049944,0.3996217263157189,0.6584140807447194,1.2316560996871124,-0.4353323044981245,-1.3740750107006001,-0.11533646775664018,-1.7269633125230062,1.1153364677566402,-0.3630621642349756,1.500319528736909,-1.3630621642349756,1.520272939590559
5,2,2,-1.3,2,-0.3706302466336739,1.5483787739825068,-1.1006978024211902,-0.1876436229519152,-0.14801740714388464,0.27462679395130996,1.422869120759891,-0.09381215465452149,-1.293318799696598,-0.12118715788726973,-1.736022396934422,1.1211871578872696,0.13447597225895494,0.9526803952773055,-0.865524027741045,0.9704144247461245
5,2,3,-0.4,-3,-0.4826720981824022,1.5483787739825068,-1.1006978024211902,-0.1876436229519152,-0.14801740714388464,0.3252770991826966,1.482881911317751,-0.13013317389035212,-1.2405302324504845,-0.12118715788726973,-1.736022396934422,1.1211871578872696,0.13447597225895494,0.9526803952773055,-0.865524027741045,0.9704144247461245
5,2,1,0.7,-1,-0.7627767270542231,1.5483787739825068,-1.1006978024211902,-0.1876436229519152,-0.14801740714388464,0.4519028622611634,1.6329138877124008,-0.22093572197992875,-1.1085588143352012,-0.12118715788726973,-1.736022396934422,1.1211871578872696,0.13447597225895494,0.9526803952773055,-0.865524027741045,0.9704144247461245
6,2,1,2.3,0,-0.3706302466336739,1.5483787739825068,-1.1006978024211902,-0.37297739153546255,0.5296405139367074,0.5630010455788855,1.1197754587500637,-0.6129681245717822,-1.4890876768289862,-0.2408825268097329,-1.9213561655179694,1.240882526809733,-0.48118612826487367,1.6303383163578977,-1.4811861282648737,1.8379779855168419
7,2,1,-2.2,6,-0.034504691987488866,1.5483787739825068,-1.1006978024211902,-1.5298979632433496,-1.1085962100877476,-1.2974879144000655,1.7359752913303719,-0.4044066221160242,-1.423393359948146,-0.9880644122422166,-3.078276737225856,1.9880644122422164,1.0071758185118416,-0.007898407666557361,-0.007175818511841615,-0.014265989412101216
9,2,1,2.1,-2,-0.6507348755054947,1.5483787739825068,-1.1006978024211902,0.07054028277343387,1.5697908149046154,1.5910125134066524,0.775775882082315,-0.9765322865229606,-1.5445670562047893,0.04555751083567283,-1.477838491209073,0.9544424891643272,-1.426177840504058,2.6704886173258053,-2.426177840504058,2.315647217246025
11,2,2,-1.6,2,-0.20256746931058137,1.5483787739825068,-1.1006978024211902,-0.17669722928812118,1.0497156644206613,0.9216626498826258,0.783748709909355,-0.7132102325433538,-1.6659521274948383,-0.1141175739794257,-1.725076003270628,1.1141175739794258,-0.9536819843844658,2.1504134668418518,-1.953681984384466,2.1766314327697316
