material_id,formula,formation_energy_per_atom
mp-1229207,Al(SiO3)2,-3.012877624166667
mp-1247813,AlAg7Se5,2.352093770072114
mp-1248478,AlCoO3,-2.090569429333334
mp-2767452,AlV2O4,-2.835161980714285
mp-554002,Al(HO)3,-2.037430720535714
mp-625075,AlHO2,-2.4778609478125
mp-625318,Al(HO)3,-2.025857349107142
mp-625762,Al(HO)3,-2.013686492857143
mp-625774,Al(HO)3,-2.022026624107143
mp-625807,Al(HO)3,-2.003276375892857
mp-626094,Al(HO)3,-2.017718666964286
mp-626103,Al(HO)3,-2.029360990892857
mp-626431,Al(HO)3,-2.029840824107143
mp-626435,Al(HO)3,-2.039267438035715
mp-626481,Al(HO)3,-1.991273873928572
mp-626496,Al(HO)3,-2.036477308928571
mp-626500,Al(HO)3,-2.00647230625
mp-626502,Al(HO)3,-2.035283762142857
mp-626504,Al(HO)3,-2.01962371625
mp-626568,Al(HO)3,-1.999795497678571
mp-626654,Al(HO)3,-1.9917637298214281
mp-649130,AlSeCl7,-0.8217919829513861
mp-673570,Al(HO)3,0.510377649285714
mp-673602,Al(HO)3,0.454993848214285
mp-674357,SmAlF5,-3.789816636011902
mp-675325,Al(Ag3S2)3,-0.260239715742185
mp-685291,AlPO4,-2.840946517301586
mp-686615,AlPO4,-2.676820228273809
mp-696871,LaAlO3,-3.4941317840000012
mp-754022,AlCoO3,-2.225202081999999
mp-802021,AlVO3,-0.8971767810000001
mp-1205474,AlPO4,-2.106960125496031
mp-1228809,AlReSi,-0.45734168416666604
mp-1228817,AlReGe,-0.28877370083333104
mp-1025108,GdAlGe,-0.624652531666666
mp-10450,PrAlGe,-0.7762397055555531
mp-11511,LaAlGe,-0.808275546666666
mp-1206175,EuAlGe,-0.6183398200000001
mp-1206597,CeAlSi,-0.701184648333331
mp-1206852,NdAlGe,-0.7781586491666651
mp-1206928,CeAlGe,-0.594403591666666
mp-1220161,NdAlSi,-0.737469985833333
mp-1222884,LaAlSi,-0.7525105499999991
mp-1224619,GdAlSi,-0.598650303333332
mp-1225273,DyAlSi,-0.6505734483333351
mp-1225503,ErAlSi,-0.609758799444447
mp-12804,SmAlSi,-0.726917778333335
mp-3077,SmAlGe,-0.6646172733333341
mp-760396,TaAlO4,-3.345023961222222
mp-1041498,AlMo3F15,-2.708865086249997
mp-1041829,AlCo3F15,-1.948254995
mp-1041859,AlFe3F15,-2.314354470526315
mp-1047451,Ti3AlF15,-3.5545270407894742
mp-1047454,AlSn3F15,-2.703198596578947
mp-1047485,AlSb3F15,-2.7434882073684213
mp-1047502,AlBi3F15,-2.418079153421048
mp-1047756,Al(WF5)3,-2.799762154210525
mp-1246896,Mn3AlN3,-0.408756788399015
mp-1254498,AlNi3F15,-1.919289974342104
mp-1357103,AlNi3F15,-1.8780097890789462
mp-1358927,Mn3AlF15,-2.4940254017785852
mp-561424,KAlF4,-3.648254212874994
mp-571260,AlInI4,-0.8898664715277751
mp-625055,AlHO2,-2.597094162812499
mp-9698,Rb6AlSb3,-0.447885379500003
mp-1102285,AlPS4,-0.6941880198710311
mp-1102536,AlCuBr4,-1.213548159999999
mp-1268005,AlBiSe4,-0.406646809726571
mp-28020,AlCuCl4,-1.319186356666666
mp-35327,Al(CN)3,-0.13521286428571402
mp-1008556,AlGaN2,-1.160212889375
mp-1008557,AlBN2,-1.161681334999999
mp-1228888,AlGaP2,-0.619710738988095
mp-1228890,AlInSb2,-0.23747915500000202
mp-34993,LiAlO2,-2.9941417804166672
mp-1215365,Zr5AlNi4,-0.422327366499999
mp-1215553,YbAlCu5,-0.30277880357143
mp-1217144,Ti4AlGe7,-0.44684737819444403
mp-551798,AlPO4,-0.30263244910714204
mp-1005753,Sm2AlGe6,-0.43846334944444404
mp-1045021,Mn3AlO6,-2.280084986129311
mp-1045074,Al(CoO2)3,-1.72016798275
mp-1053454,Li2CeAl,0.079226873833334
mp-1096316,La2AlIn,1.930495143750004
mp-1105912,Ce2AlGe6,-0.436916808333332
mp-1173619,NbAlO4,-3.21169860986111
mp-1182975,Al(NCl)4,1.059997447500001
mp-1188429,Nd2AlGe6,-0.5044500954166691
mp-1190006,Pr2AlGe6,-0.48779632537036804
mp-1190055,Gd2AlGe6,-0.424096883333333
mp-1208536,Tb2AlGe6,-0.46358073611111106
mp-1216557,TmAlGa,-0.619869378333334
mp-1218590,SrAlIn,-0.336328537222221
mp-1219110,SmAlZn,-0.448415816666668
mp-1219678,PrAlZn,-0.42421363222221903
mp-1220449,NbAlO4,-3.17855328
mp-1222857,LaMg11Al,-0.039475953846153
mp-1222935,LaAlZn,-0.481932336666664
mp-1225194,EuAlGa,-0.5302447733333311
mp-1226821,CaAlGa,-0.46693808833333206
mp-1262698,AlFe3F15,-2.289985379736842
mp-1272257,AlV2O4,-2.734661053928571
mp-1276673,AlV2O4,-2.730544797857143
mp-1394351,Al(CuO2)3,-0.843183305
mp-14333,TaAlO4,-3.400570372055554
mp-14951,Rb3AlO3,-2.192958231785712
mp-19413,AlWO4,-2.63203482
mp-27927,NbAlO4,-3.226094881666666
mp-28118,AlSbI6,-0.7967515743749981
mp-31405,Mg4AlSi6,0.171314653636363
mp-557757,AlPO4,-3.104928618551586
mp-571542,CeAlCo,-0.512263699999999
mp-753472,NbAlO4,-3.188611330833333
mp-9157,K3AlO3,-2.257201830250001
mp-1245486,AlCoN2,-0.550804280937498
mp-1245566,MnAlN2,-0.804956318232759
mp-1245628,YAlN2,-1.593791819374999
mp-1245631,AlFeN2,-0.618678065000001
mp-1245856,AlInN2,-0.862999876875001
mp-1245895,AlCrN2,-0.9818514943749981
mp-1345658,Al(CuS2)3,-0.19861206279166702
mp-1346055,Al(CuSe2)3,-0.181151561937497
mp-14091,AlAgSe2,-0.7432121020312501
mp-14092,AlAgTe2,-0.43926148875000204
mp-4586,LiAlTe2,-0.925174646666666
mp-4979,AlCuS2,-0.963132853906248
mp-5782,AlAgS2,-0.904003048906249
mp-8016,AlCuSe2,-0.7563341932812491
mp-8017,AlCuTe2,-0.42519420625000104
mp-1025271,AlPPt5,-0.6679614925680291
mp-1025306,AlAsPt5,-0.568372223214282
mp-1077280,AlNF4,-1.6895768758333332
mp-1173125,TaAlO4,-2.383048731222222
mp-1210387,Na2AlGe2,0.230769675624999
